Company,Owner,Registered Agent,Commercial Registered Agent
"XLHome, P.C. (dba Home Health Assessments of North Dakota, P.C.)",,,C T CORPORATION SYSTEM
X-terior Solutions,Travis c Toepke,,
XL LOGISTICS LLC,,MOHAMED  MOHAMED,
"XL INDUSTRIAL SERVICES, INC.",,,CORPORATION SERVICE COMPANY
"XL HOMES, CORP.",,DAN  MASSETH,
XLT TAXI,"X-RAY LIMA TANGO, LLC",,
Xkulsiv Kickz LLC,,,"USCA, INC."
XIULING INC,,XIULING  WU,
XLT Transport,"X-RAY LIMA TANGO, LLC",,
"Ximedica, LLC",,,CORPORATE CREATIONS NETWORK INC.
"XIE XIE, LLC",,CINDY  O'DAY,
"XIPHOS TECHNICAL SERVICES, LLC",,DARIN K POWELL,
"XGP PROPERTIES, LLC",,GEORGE  POITRA,
"XL TRANSPORT, LLC",,COREY  GETZLAFF,
XFINITY HOME,"COMCAST BROADBAND SECURITY, LLC",,
"XH, LLC",,,CORPORATION SERVICE COMPANY
XL Farms,,,
XEROX STATE HEALTHCARE,"CONDUENT STATE HEALTHCARE, LLC",,
XEROX STATE & LOCAL SOLUTIONS,"CONDUENT STATE & LOCAL SOLUTIONS, INC.",,
XEROX GOVERNMENT SYSTEMS,"CONDUENT GOVERNMENT SYSTEMS, LLC",,
XEROX FINANCIAL SERVICES LLC,,,CORPORATION SERVICE COMPANY
"X-GEN PHARMACEUTICALS, INC.",,,"INCORP SERVICES, INC."
Xcel Holdings,Tanner Collette,,
XERCOR INSURANCE SERVICES LLC,,,COGENCY GLOBAL INC.
XFI Inc,,CLIFF  COSS,
"XETA TECHNOLOGIES, INC.",,,"REGISTERED AGENT SOLUTIONS, INC."
"Xeris Pharmaceuticals, Inc.",,,C T CORPORATION SYSTEM
XCELL DRIVING SCHOOL LLP,,DAVID J KLINKHAMMER,
XeCare LLC,,,"CAPITOL CORPORATE SERVICES, INC."
"XENITH, LLC",,,UNITED AGENT GROUP INC.
Xenex Disinfection Services Inc.,,,"INCORP SERVICES, INC."
XELLIA PHARMACEUTICALS USA LLC,,,REGISTERED AGENTS INC.
XCEL TRUCKING LLC,,Kenneth  Miller,
"XEBU, LLC",,"CORPORATE SERVICE CENTER, INC.",
Xebec Systems USA LLC,,,"INCORP SERVICES, INC."
XEROX CORPORATION,,,"THE PRENTICE-HALL CORPORATION SYSTEM, INC."
Xe USA,"CONTINENTAL EXCHANGE SOLUTIONS, INC.",,
"XConnect, LLC",,,"INCORP SERVICES, INC."
"XCL Marketing, LLC",,,C T CORPORATION SYSTEM
"XCL AssetCo, LLC",,,C T CORPORATION SYSTEM
"XCL Resources, LLC",,,C T CORPORATION SYSTEM
"XCHANGE BENEFITS, LLC",,,"3H AGENT SERVICES, INC."
XCEL AG SOLUTIONS LLC,,ANTHONY  BAUMGARTNER,
"XCL RoyaltyCo, LLC",,,C T CORPORATION SYSTEM
"XCAST LABS, INC.",,,"INCORP SERVICES, INC."
"XCALIBER INTERNATIONAL LTD., L.L.C.",,,CORPORATION SERVICE COMPANY
"XCLOUD, LLC",,,"REGISTERED AGENT SOLUTIONS, INC."
"Xencom Energy Management, LLC",,,"REGISTERED AGENT SOLUTIONS, INC."
XDP Digital LLC,,KIMBERLY  BRAUN,
XCEL AGRONOMY LLC,,CHRISTOPHER  PERLEBERG,
Xclusive Apparel,SHOES 'N' SUCH LLP,,
"XANADU PRODUCTS, L.L.C.",,RICK  PAULSON,
XAP Corporation,,,CORPORATION SERVICE COMPANY
XactlyOne Foundation,,,"NORTHWEST REGISTERED AGENT SERVICE, INC."
"XANADU, LLC",,MICHELLE  BAKKE,
X10 INVESTMENTS L.L.C.,,TYLER J HOEMBERG,
X REPUBLIC SALON LLC,,PEDRO  CAVASAS,
"X S BROKERS INSURANCE AGENCY, INC.",,,"REGISTERED AGENT SOLUTIONS, INC."
X INC.,,LS DRYWALL INC.,
X Golf Minot,"Elite Golf, LLC",,
X Realty LLC,,ERIC  CHRISTIANS,
"X Diamond Partners, LLP",,KENDALL  VETTER,
"X 1 BUILDERS , LLC",,JEFF  BARLOW,
"X2COMM, INC.",,,"NATIONAL REGISTERED AGENTS, INC."
Xander Products & Service LLC,,ALEXANDER G. MUGAN,
XAPIC STUDIOS,PATRICIA A ROGALLA,,
"XB Investments, LLC",,JOSH  JELINEK,
"XCED AVIATION SERVICES, LLC",,,C T CORPORATION SYSTEM
"Xcel Roofing of Siouxland, LLC",,,"REGISTERED AGENT SOLUTIONS, INC."
X ELECTRIC,"XTREME ELECTRICAL SERVICES, INC.",,
